title,source,category,published_at,url,description,date,hour,day_of_week,title_length,description_length,hours_since_published,trend_velocity
Riftbound's Decentralised Rulings Are Hurting The Game - TheGamer,TheGamer,technology,2026-03-22 16:00:20+00:00,https://www.thegamer.com/riftbound-strange-interactions-lack-of-communication-hurting-game/,"Riftbound is fantastic, but Riot needs to be more active in clarifying some contentious card interactions.",2026-03-22,16,Sunday,65,106,306.7559903977778,0.21120628688977533
'Crimson Desert' issues on Xbox PC underpins the vast amount of work required for Xbox Helix — Xbox PC can't afford to be this unreliable forever - Windows Central,Windows Central,technology,2026-03-22 15:19:03+00:00,https://www.windowscentral.com/gaming/xbox/crimson-desert-issues-on-xbox-pc-underpins-the-vast-amount-of-work-required-for-xbox-helix-and-the-issues-persist,"""Crimson Desert"" should've been a big win for Xbox Play Anywhere on PC, but what followed was a swath of issues that casts a bit of a question mark over Xbox Helix.",2026-03-22,15,Sunday,163,164,307.44404595333333,0.5284588959926346
Moderators Work To Preserve Massive Database Of Visual Novel Games After Founder Dies - Kotaku,Kotaku,technology,2026-03-22 15:16:52+00:00,https://kotaku.com/visual-novel-database-founder-passes-away-yorhel-vndb-2000680833,The loss of Yoran 'Yorhel' Heling has site moderators working to figure out a preservation strategy,2026-03-22,15,Sunday,94,99,307.4804348422222,0.3047194874711518
"Capcom celebrates Resident Evil's 30th anniversary by promising ""even more wonderful experiences"" are coming, but doesn't confirm when - Eurogamer",Eurogamer.net,technology,2026-03-22 15:14:46+00:00,https://www.eurogamer.net/capcom-celebrates-resident-evils-30th-anniversary-by-promising-even-more-wonderful-experiences-are-coming-but-doesnt-confirm-when,"Resident Evil series executive producer, Jun Takeuchi, has written to Resident Evil players across the world, thanking …",2026-03-22,15,Sunday,146,120,307.5154348422222,0.4732340217424319
PICROSS S KONAMI ANTIQUES edition announced for Switch - Gematsu,Gematsu,technology,2026-03-22 15:01:08+00:00,https://www.gematsu.com/2026/03/picross-s-konami-antiques-edition-announced-for-switch,"Jupiter has announced PICROSS S KONAMI ANTIQUES edition for Switch. It will launch via Nintendo eShop on April 30 for $17.99 / €17.99 / £16.19 / ¥1,800.",2026-03-22,15,Sunday,64,152,307.7426570644444,0.2072923793832647
This CEO took legal advice from ChatGPT to avoid paying $250 million bonus. It backfired | Hindustan Times - Hindustan Times,Hindustan Times,technology,2026-03-22 14:57:59+00:00,https://www.hindustantimes.com/trending/us/this-ceo-took-legal-advice-from-chatgpt-to-avoid-paying-250-million-bonus-it-backfired-101774189914426.html,"The court stressed that company executives are expected to exercise independent judgment, not outsource good-faith decisions to an AI.",2026-03-22,14,Sunday,124,134,307.7951570644444,0.401560701854277
Can anyone get a book deal? What it takes to be a novelist in 2026. - USA Today,USA Today,technology,2026-03-22 14:57:00+00:00,https://www.usatoday.com/story/life/2026/03/22/how-to-be-a-novelist-author/89199046007/,"Agents and editors say market fit, timing and competition, not just quality, are key factors determining which manuscripts get acquired today.",2026-03-22,14,Sunday,79,142,307.81154595333334,0.2558194505199564
VoidStealer malware steals Chrome master key via debugger trick - BleepingComputer,BleepingComputer,technology,2026-03-22 14:32:46+00:00,https://www.bleepingcomputer.com/news/security/voidstealer-malware-steals-chrome-master-key-via-debugger-trick/,An information stealer called VoidStealer uses a new approach to bypass Chrome's Application-Bound Encryption (ABE) and extract the master key for decrypting sensitive data stored in the browser.,2026-03-22,14,Sunday,82,195,308.21543484222224,0.2651872796771631
Dynamax Regice Max Monday: Event Guide - Pokémon GO Hub,Pokemon GO Hub,technology,2026-03-22 14:30:19+00:00,https://pokemongohub.net/post/guide/dynamax-regice-max-monday-event-guide/,"Max Monday features a different Pokémon in power spots for the whole day. Regice Max Monday takes place on March 23rd, 2026. This Max Monday is the fourth March Pokémon, and it is the debut of the legendary Ice Pokémon Dynamax Regice!  Dynamax Regice is a Tie…",2026-03-22,14,Sunday,55,260,308.25626817555553,0.17784603146274192
AMD Ryzen 9 9950X3D2 Spotted In CPU-Z; Specs Show 128 MB Of L3 Cache? - Wccftech,Wccftech,technology,2026-03-22 13:46:00+00:00,https://wccftech.com/amd-ryzen-9-9950x3d2-spotted-in-cpu-z-specs-show-128-mb-of-l3-cache/,"AMD Ryzen 9 9950X3D2 may feature a 200W TDP and 192 MB L3 cache, but CPU-Z lists it incorrectly with 128 MB total cache.",2026-03-22,13,Sunday,80,120,308.9948792866667,0.25806877902012143
Two Major Game Age Rating Agencies Split Over Dark Patterns - Kotaku,Kotaku,technology,2026-03-22 13:44:05+00:00,https://kotaku.com/mario-kart-tour-gambling-esrb-pegi-age-rating-2000680828,North American ESRB ratings are bucking global trends,2026-03-22,13,Sunday,68,53,309.0268237311111,0.21933585998022215
New Apple TV and HomePod Mini Remain 'Ready' to Launch - MacRumors,MacRumors,technology,2026-03-22 13:33:01+00:00,https://www.macrumors.com/2026/03/22/new-apple-tv-and-homepod-mini-remain-ready/,"Apple has unveiled nine new products this month, but the wait continues for the next-generation Apple TV 4K and HomePod mini models.   In his Power...",2026-03-22,13,Sunday,66,150,309.2112681755556,0.212758228894023
Report: New iPad with A18 chip still on track to launch in first half of 2026 - 9to5Mac,9to5Mac,technology,2026-03-22 13:31:00+00:00,https://9to5mac.com/2026/03/22/new-budget-ipad-with-a18-chip-launch-schedule-update/,"As part of Apple’s week of product announcements earlier this month, many were hoping to see an update to Apple’s...",2026-03-22,13,Sunday,87,116,309.2448792866667,0.28042364534762193
People Are Ditching Bath Mats for This (Wait Until You See It) - Apartment Therapy,Apartment Therapy,technology,2026-03-22 13:30:00+00:00,https://www.apartmenttherapy.com/bathroom-runner-design-hack-viral-instagram-37544276,Give your bathroom a designer touch.,2026-03-22,13,Sunday,82,36,309.2615459533333,0.2642931457974933
This lab that's determined to discover new drugs isn't where you might expect - NPR,NPR,technology,2026-03-22 13:25:30+00:00,https://www.npr.org/2026/03/22/g-s1-114038/new-drugs-health-medicine-africa-tuberculosis-measles,"A scientist from Zambia who loves — LOVES! — chemistry runs a lab in South Africa that is being hailed for ""extraordinary"" work.",2026-03-22,13,Sunday,83,128,309.3365459533333,0.26745158145982934
"Urgent Apple warning: Update your iPhone, iPad now - AL.com",AL.com,technology,2026-03-22 13:20:00+00:00,https://www.al.com/news/2026/03/urgent-apple-warning-update-your-iphone-ipad-now.html,Roughly 25% of all iPhones are operating a version of iOS 18.,2026-03-22,13,Sunday,59,61,309.42821262,0.19006004480727665
Square Enix announces it will integrate Google’s generative AI Gemini into popular online game Dragon Quest X - My Nintendo News,My Nintendo News,technology,2026-03-22 12:48:18+00:00,https://mynintendonews.com/2026/03/22/square-enix-announces-it-will-integrate-googles-generative-ai-gemini-into-popular-online-game-dragon-quest-x/,"Square Enix has found a use for Google’s generative AI Gemini and will be putting it to use in the popular online game, Dragon Quest X. Gemini will be used in-game as a feature that allows players to…",2026-03-22,12,Sunday,128,200,309.9565459533333,0.41163307756579454
Cheaper Than A Porsche: 8 Affordable Sports Cars That Deliver Track-Level Thrills - Jalopnik,Jalopnik,technology,2026-03-22 12:45:00+00:00,https://www.jalopnik.com/2128277/cheaper-than-porsche-affordable-sports-cars-track-level-thrills/,"Some great and sporty alternatives to a Porsche include the 2016 Scion FR-S, the C5 Corvette, the 2018 Ford Mustang GT, and the 2016 Chevrolet Camaro SS.",2026-03-22,12,Sunday,92,153,310.0115459533333,0.2958089537094048
The Line At The Bottom Of Your iPhone Screen Isn't For Aesthetics – Here's What It Does - bgr.com,BGR,technology,2026-03-22 12:17:00+00:00,https://www.bgr.com/2125894/what-iphone-screen-bottom-line-does/,"For many models now, Apple's iPhone has had a line at the bottom of its screen, but it turns out that line isn't just to tie the screen together aesthetically.",2026-03-22,12,Sunday,97,159,310.47821261999997,0.311418250361989
"18 New Watches You Missed from Seiko, Tissot, Citizen, Timex and More - Gear Patrol",Gear Patrol,technology,2026-03-22 12:00:00+00:00,https://www.gearpatrol.com/watches/watches-you-missed-march-22-2026/,"Keep time with the industry's most exciting new watches, including Seiko, Tissot, Timex, Citizen and more.",2026-03-22,12,Sunday,83,106,310.7615459533333,0.2662291134918353
10 Cool New Gadgets to Keep on Your Radar - Gear Patrol,Gear Patrol,technology,2026-03-22 12:00:00+00:00,https://www.gearpatrol.com/audio/best-new-tech-releases-3-22-2026/,Catching you up on the past week’s most notable product releases.,2026-03-22,12,Sunday,55,65,310.7615459533333,0.1764168824343487
"Guilty Gear: Strive version 2.00 update, Season 5 DLC characters Jam Kuradoberi and Robo=Ky announced - Gematsu",Gematsu,technology,2026-03-22 11:35:56+00:00,https://www.gematsu.com/2026/03/guilty-gear-strive-version-2-00-update-season-5-dlc-characters-jam-kuradoberi-and-roboky-announced,"Arc System Works has announced the version 2.00 update for fighting game Guilty Gear: Strive, which will launch on April 9 alongside Season 5 downloadable content character Jam Kuradoberi.",2026-03-22,11,Sunday,111,188,311.16265706444443,0.3555838518413322
"The AI race between China and the U.S. heats up. These stocks could be winners, Bernstein says - CNBC",CNBC,technology,2026-03-22 11:27:37+00:00,https://www.cnbc.com/2026/03/22/winning-stocks-in-the-ai-race-between-china-and-the-us-per-bernstein.html,"Whether China or the U.S. wins the race for artificial intelligence ultimately relies on the ability to power the new technology, according to Bernstein.",2026-03-22,11,Sunday,101,153,311.30126817555555,0.32340566719448716
"I've been playing Screamer, a reboot of a '90s arcade racer with anime flair, and it's a joy - Creative Bloq",Creative Bloq,technology,2026-03-22 11:00:00+00:00,https://www.creativebloq.com/entertainment/gaming/screamer-review-the-90s-arcade-racer-gets-an-anime-redesign-and-i-love-it,Retina-burning speed even your nostalgia can't keep up with.,2026-03-22,11,Sunday,108,60,311.7615459533333,0.3453109929828602
"At an Inner Richmond sports bar, a 25-year-old Nintendo game brings fierce competition - Mission Local",Mission Local,technology,2026-03-22 11:00:00+00:00,http://missionlocal.org/2026/03/super-smash-bros-inner-richmond/,"At this unassuming neighborhood Irish pub, dozens of devotees to this retro video game convene every week to prove their skills.",2026-03-22,11,Sunday,102,128,311.7615459533333,0.3261270489282569
"Pay Once, Not Monthly, With My Favorite Subscription-Free Security Cameras - WIRED",Wired,technology,2026-03-22 11:00:00+00:00,https://www.wired.com/story/best-subscription-free-security-cameras/,You don’t have to upload your video to the cloud or pay a monthly fee to secure your home. These security cameras record locally.,2026-03-22,11,Sunday,82,129,311.7615459533333,0.26218056874624573
4 Things You Never Knew Your PS5 Could Do - bgr.com,BGR,technology,2026-03-22 10:47:00+00:00,https://www.bgr.com/2125812/things-never-knew-ps5-could-do/,"The PlayStation 5 lets users create custom button mapping, play from a PC and Mac, use motion control to aim, and amplify sounds with headphones.",2026-03-22,10,Sunday,51,145,311.97821261999997,0.1629506398323044
Give Your Phone a Huge (and Free) Upgrade by Switching to Another Keyboard - WIRED,Wired,technology,2026-03-22 10:30:00+00:00,https://www.wired.com/story/switch-your-phone-to-another-keyboard-ios-android/,Change up the default keyboard in Android and iOS and feel the benefit.,2026-03-22,10,Sunday,82,71,312.2615459533333,0.26176209962334657
"We Took Our Three-Year-Old On A Long Haul Flight, And It Was Amazing! - One Mile at a Time",One Mile at a Time,technology,2026-03-22 10:18:19+00:00,https://onemileatatime.com/insights/three-year-old-long-haul-flight-amazing/,We took our three year old on his first long haul flight in nearly two years. It went so much better than I could have anticipated!,2026-03-22,10,Sunday,90,131,312.4562681755555,0.2871213918414745
This Tiny USB-C Gadget Adds Better Wireless Audio To Your Phone Or Laptop - bgr.com,BGR,technology,2026-03-22 10:17:00+00:00,https://www.bgr.com/2125703/noble-sceptre-usb-c-gadget-better-wireless-audio-phone-laptop/,"Leveraging codecs like LDAC and aptX Adaptive, the Noble Audio Sceptre, a Bluetooth audio dongle, promises higher-quality audio for your wireless devices.",2026-03-22,10,Sunday,83,154,312.47821261999997,0.2647711919316481
Andrej Karpathy says he uses an AI agent named Dobby the Elf Claw to control his pool and track his packages - Business Insider,Business Insider,technology,2026-03-22 10:09:00+00:00,https://www.businessinsider.com/openai-founder-andrej-karpathy-chores-dobby-ai-claw-2026-3,Andrej Karpathy said an AI agent named Dobby texts him whenever he gets a Fedex package and helps him control his spa.,2026-03-22,10,Sunday,127,118,312.61154595333335,0.4049595802155132
Before Robert De Niro Was A Star He Promoted AMC's Ambassador In A '70s Car Commercial - Jalopnik,Jalopnik,technology,2026-03-22 08:25:00+00:00,https://www.jalopnik.com/2125791/robert-deniro-amc-ambassador-car-commercial/,"In 1970, De Niro played a CPA who brought his new Ambassador home so his parents could admire it. Richard Dreyfuss made an AMC commercial, too.",2026-03-22,8,Sunday,97,143,314.34487928666664,0.3075997308705984
From ‘Liquid Glass’ to AI Music: Everything New in the iOS 26.4 Final Build - Geeky Gadgets,Geeky Gadgets,technology,2026-03-22 06:35:51+00:00,https://www.geeky-gadgets.com/ios-26-4-final-details/,Apple is set to launch iOS 26.4 next week. From the AI-powered Playlist Playground to new 'Urgent' reminders and keyboard fixes.,2026-03-22,6,Sunday,91,128,316.1640459533333,0.2869177675119881
New to AI? This 'Master Key' prompt is the only one you need to start - Tom's Guide,Tom's Guide,technology,2026-03-22 04:15:00+00:00,https://www.tomsguide.com/ai/new-to-ai-this-master-key-prompt-is-the-only-one-you-need-to-start,This simple prompt teaches you how to use AI the right way — even if you’re starting from scratch,2026-03-22,4,Sunday,83,97,318.5115459533333,0.259771520156967
"Bloodstained: The Scarlet Engagement listed for Nintendo Switch, plus an unannounced 505 Games Switch 2 title - Nintendo Everything",Nintendoeverything.com,technology,2026-03-22 04:04:50+00:00,https://nintendoeverything.com/bloodstained-the-scarlet-engagement-listed-for-nintendo-switch-plus-an-unannounced-505-games-switch-2-title/,"Bloodstained: The Scarlet Engagement has been listed for Nintendo Switch alongside an unannounced Switch 2 title from 505 Games. The Scarlet Engagement, a sequel to the original, was previously announced last year. Although there wasn’t any news about a Ninte…",2026-03-22,4,Sunday,131,260,318.68099039777775,0.4097835152381042
"Deals: Galaxy S26 series gets its first price drop, the Pixel 10 series drops even further - GSMArena.com news - GSMArena.com",GSMArena.com,technology,2026-03-22 01:31:02+00:00,https://www.gsmarena.com/deals_galaxy_s26_series_gets_its_first_price_drop_the_pixel_10_series_drops_even_further-news-72031.php,"Meanwhile, the 2025 MacBook Airs are getting cheaper too - not quite as cheap as the Neo, but they are an important alternative for those who need more RAM.",2026-03-22,1,Sunday,125,156,321.2443237311111,0.38790442777295653
"Microsoft says it'll make Windows 11 a calmer OS with fewer upsells or ads, as it tries to win back users - Windows Latest",WindowsLatest,technology,2026-03-22 00:03:39+00:00,https://www.windowslatest.com/2026/03/22/microsoft-says-itll-make-windows-11-a-calmer-os-with-fewer-upsells-or-ads-in-the-start-menu-and-other-places/,"Microsoft has now confirmed it’s scaling back “upsells” (or ads/recommendations) in Windows 11, as it tries to win back users.",2026-03-22,0,Sunday,122,126,322.70071262,0.37689135440124505
New Xbox First-Party Game Announced In The Form Of Minecraft Dungeons 2 - Pure Xbox,Pure Xbox,technology,2026-03-21 21:48:53+00:00,https://www.purexbox.com/news/2026/03/new-xbox-first-party-game-announced-in-the-form-of-minecraft-dungeons-2,"""Return to the world in an all new action RPG adventure""",2026-03-21,21,Saturday,83,56,324.9468237311111,0.25464276365665894
700 AI agents built a civilization with a new religion - Boing Boing,Boing Boing,technology,2026-03-21 21:38:26+00:00,https://boingboing.net/2026/03/21/700-ai-agents-built-a-civilization-with-a-new-religion.html,"Over 3,400 AI agents joined SpaceMolt and built factions, religions, rescue squads, and a Pareto wealth distribution.",2026-03-21,21,Saturday,68,117,325.12099039777775,0.20851157086533662
Halide co-founder is suing former partner for bringing source code to Apple - The Verge,The Verge,technology,2026-03-21 21:02:56+00:00,https://www.theverge.com/business/898687/halide-lawsuit-co-founder-apple,Halide co-founder Ben Sandofsky claims Sebastiaan de With was fired for financial misconduct before joining Apple.,2026-03-21,21,Saturday,87,114,325.71265706444444,0.26628904059520153
Google Search test replaces headlines and website titles with AI - 9to5Google,9to5google.com,technology,2026-03-21 20:31:32+00:00,http://9to5google.com/2026/03/21/google-search-test-replaces-headlines-and-website-titles-with-ai/,"Google Search has started testing the use of AI to replace headlines and website titles, a change that seems both...",2026-03-21,20,Saturday,77,116,326.23599039777775,0.23530419104084863
"The AirPods Pro 3 are $50 off right now, nearly matching their best-ever price - The Verge",The Verge,technology,2026-03-21 17:00:00+00:00,https://www.theverge.com/gadgets/898502/airpods-pro-3-amazon-big-spring-sale-2026-deal,"The AirPods Pro 3 are on sale for $199.99, which nearly matches the lowest price we’ve seen on Apple’s newest pair of premium earbuds.",2026-03-21,17,Saturday,90,134,329.7615459533333,0.2720993449846131
Crimson Desert Hears Your Complaints And Will Fix The Controls - Kotaku,Kotaku,technology,2026-03-21 15:37:31+00:00,https://kotaku.com/crimson-desert-controls-fix-update-patch-2000680802,Pearl Abyss says its listening to Crimson Desert players' complaints about the complicated controls and will patch in new options ASAP.,2026-03-21,15,Saturday,71,135,331.13626817555553,0.21376768153025644
These are my favorite budget-friendly iPhone 17e accessories - 9to5Mac,9to5Mac,technology,2026-03-21 14:30:00+00:00,https://9to5mac.com/2026/03/21/these-are-my-favorite-budget-friendly-iphone-17e-accessories/,"Best budget accessories for iPhone 17e: cases, chargers, MagSafe gear, AirPods, and more to upgrade your setup for less.",2026-03-21,14,Saturday,70,120,332.2615459533333,0.21004523579147685
Shark’s new ChillPill portable fan will be a savior when summer starts sizzling - CNN,CNN,technology,2026-03-21 14:00:00+00:00,https://www.cnn.com/cnn-underscored/reviews/shark-chillpill,"Our testing writers tried the Shark ChillPill, a portable fan with a swappable cooling plate and misting nozzle, to see how well it helps them beat the heat.",2026-03-21,14,Saturday,85,157,332.7615459533333,0.2546728376308658
"Calculate Your VO2 Max at Home in Just 5 Minutes, No Complex Lab Tests Needed - Outside Magazine",Outside,technology,2026-03-21 13:22:44+00:00,https://velo.outsideonline.com/road/road-training/calculate-vo2-max/#article,"It's one of endurance sport's most talked about yet elusive numbers, until now. A simple power test will spare you a costly trip to a performance lab for specialist VO2 Max testing.",2026-03-21,13,Saturday,96,181,333.38265706444446,0.28709622934032203
Large Hadron Collider Discovers All-New Particle - Futurism,Futurism,technology,2026-03-21 12:00:00+00:00,http://futurism.com/science-energy/large-hadron-collider-discovers-all-new-particle,"Scientists have used CERN's Large Hadron Collider (LHC) to uncover what they say is an entirely new type of particle, dubbed Xi-cc-plus.",2026-03-21,12,Saturday,59,136,334.7615459533333,0.17571994384431464
MSFS 2024 PlayStation VR2 support gets a release window: it's coming with Sim Update 5 in April - MSFS Addons,Msfsaddons.com,technology,2026-03-21 11:17:25+00:00,https://msfsaddons.com/2026/03/21/msfs-2024-playstation-vr2-support-gets-a-release-window-its-coming-with-sim-update-5-in-april/,Microsoft confirms that PSVR2 support for MSFS 2024 on PS5 is arriving very soon.,2026-03-21,11,Saturday,109,81,335.47126817555556,0.3239503943116139
Mysterious Structure on Mars Looks Uncannily Like an Ancient Egyptian Pyramid - ScienceAlert,ScienceAlert,science,2026-03-23 01:32:39+00:00,https://www.sciencealert.com/mysterious-structure-on-mars-looks-uncannily-like-an-ancient-egyptian-pyramid,"It would be tempting to assume there's nothing much of note happening on Mars, but that dusty rusty planet has a lot of interesting stuff going on.",2026-03-23,1,Monday,92,147,297.21737928666664,0.30849979374127423
Satellites watch as a 650-foot mega-tsunami sends seismic waves around the world for nine days - Earth.com,Earth.com,science,2026-03-22 17:46:40+00:00,https://www.earth.com/news/650-foot-mega-tsunami-dickson-fjord-greenland-swot-sentinel-2-global-seismic-waves/,"Over 25 million cubic yards of rock and ice broke loose and plunged into Greenland's Dickson Fjord, creating a 650-foot-high mega-tsunami",2026-03-22,17,Sunday,106,137,304.98376817555555,0.34642360485992646
36 years of Hubble: The telescope that changed our understanding of the universe - Earth.com,Earth.com,science,2026-03-22 17:35:09+00:00,https://www.earth.com/news/hubble-space-telescope-36-years-changed-our-understanding-of-the-universe/,"The Hubble Space Telescope celebrates 36 years of incredible discoveries, stunning imagery, and a lasting impact on astronomy.",2026-03-22,17,Sunday,92,126,305.17571262,0.3004810512654307
"SpaceX's One Million Orbital Data Centers Would Be Debilitating for Astronomy Research, Scientists Say - Futurism",Futurism,science,2026-03-22 16:00:00+00:00,http://futurism.com/space/spacex-one-million-orbital-data-centers-astronomy,SpaceX filed plans with the FCC for up to one million satellites designed to function as orbital data centers. Astronomers are not happy.,2026-03-22,16,Sunday,113,137,306.7615459533333,0.3671673783999463
Column | I want to avoid the ‘aging mistakes’ my parents made. I’ve got work to do. - The Washington Post,The Washington Post,science,2026-03-22 16:00:00+00:00,https://www.washingtonpost.com/wellness/2026/03/22/aging-mistakes/,"Twenty years ago, I started a list of what I considered “stupid things” that old people do. Now, I’m seeing my life, and my list, in a different light.",2026-03-22,16,Sunday,105,151,306.7615459533333,0.3411732277167643
